sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	targetNote	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceSource	referenceDoi	referenceCitation
EOL:328534	Orcinus orca	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	stomach sample	GEONAMES:6115068	Queen Charlotte Islands, British Columbia 			1995	Ford J. K. Ellis G. M. Barrett-Lennard L. G. Morton A. B. Palm R. S. and Balcomb III K. C. (1998). Dietary specialization in two sympatric populations of killer whales (Orcinus orca) in coastal British Columbia and adjacent waters. Canadian Journal of Zoology 76(8) 1456-1471.	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328629	Phoca vitulina	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	scat sample	GEONAMES:5720196	Columbia River, Oregon			1995	National Marine Fisheries Service (NMFS). 1997. Investigation of Scientific Information on the Impacts of California Sea Lions and Pacific Harbor Seals on Salmonids and on the Coastal Ecosystems of Washington Oregon and California. U.S. Dep. Commer. NOAA Tech. Memo. NMFS-NWFSC-28 172 p. DATA: Riemer S. D. and R. F. Brown. 1996. Marine mammal (pinniped) food habits in Oregon. Oregon Dep. Fish Wildl. Wildlife Diversity Program Technical Report #96­6­01 26 p. (Available from Oregon Department of Fish and Wildlife P.O. Box 59 Portland OR 97207.)	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328629	Phoca vitulina	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	enema	GEONAMES:5720196	Columbia River, Oregon			1995	National Marine Fisheries Service (NMFS). 1997. Investigation of Scientific Information on the Impacts of California Sea Lions and Pacific Harbor Seals on Salmonids and on the Coastal Ecosystems of Washington Oregon and California. U.S. Dep. Commer. NOAA Tech. Memo. NMFS-NWFSC-28 172 p. DATA: Riemer S. D. and R. F. Brown. 1996. Marine mammal (pinniped) food habits in Oregon. Oregon Dep. Fish Wildl. Wildlife Diversity Program Technical Report #96­6­01 26 p. (Available from Oregon Department of Fish and Wildlife P.O. Box 59 Portland OR 97207.)	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328534	Orcinus orca	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	stomach sample	GEONAMES:6173336	NE Vancouver Island, British Columbia 			1996	Ford J. K. Ellis G. M. Barrett-Lennard L. G. Morton A. B. Palm R. S. and Balcomb III K. C. (1998). Dietary specialization in two sympatric populations of killer whales (Orcinus orca) in coastal British Columbia and adjacent waters. Canadian Journal of Zoology 76(8) 1456-1471.	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328617	Eumetopias jubatus	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	scat sample	GEONAMES:5879092	Southeast Alaska, Alaska			1996	Trites A. W. Calkins D. G. and Winship A. J. (2007). Diets of Steller sea lions (Eumetopias jubatus) in Southeast Alaska 1993− 1999. Fishery Bulletin 105(2) 234-248.	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328629	Phoca vitulina	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	scat sample	GEONAMES:5807517	South Puget Sound, Washington			1997	Lance M. M. and Jeffries S. J. (2009). Harbor seal diet in Hood Canal south Puget Sound and the San Juan Island archipelago. WDFW Wildlife Program Science Division.	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328629	Phoca vitulina	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	scat sample	GEONAMES:5807517	South Puget Sound, Washington			1997	Lance M. M. and Jeffries S. J. (2009). Harbor seal diet in Hood Canal south Puget Sound and the San Juan Island archipelago. WDFW Wildlife Program Science Division.	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328629	Phoca vitulina	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	scat sample	GEONAMES:5807517	South Puget Sound, Washington			1997	Lance M. M. and Jeffries S. J. (2009). Harbor seal diet in Hood Canal south Puget Sound and the San Juan Island archipelago. WDFW Wildlife Program Science Division.	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328629	Phoca vitulina	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	scat sample	GEONAMES:5711125	Alsea Bay (lower estuary), Oregon			1997	Scordino J. (2010). West coast pinniped program investigations on California sea lion and Pacific Harbor seal impacts on salmonids and other fishery resources. Pacific States Marine Fisheries Commission.	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328629	Phoca vitulina	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	scat sample	GEONAMES:5711125	Alsea Bay (upper estuary), Oregon			1997	Scordino J. (2010). West coast pinniped program investigations on California sea lion and Pacific Harbor seal impacts on salmonids and other fishery resources. Pacific States Marine Fisheries Commission.	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328629	Phoca vitulina	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	scat sample	GEONAMES:5749210	Rogue river, Oregon			1997	Scordino J. (2010). West coast pinniped program investigations on California sea lion and Pacific Harbor seal impacts on salmonids and other fishery resources. Pacific States Marine Fisheries Commission.	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328615	Zalophus californianus	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	scat sample	GEONAMES:5374363	Monterey Bay, California			1997	Weise M. J. and Harvey J. T. (2008). Temporal variability in ocean climate and California sea lion diet and biomass consumption: implications for fisheries management. Marine Ecology-Progress Series 373 157-172.	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328615	Zalophus californianus	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	scat sample	GEONAMES:5374363	Monterey Bay, California			1997	Weise M. J. (2000). Abundance food habits and annual fish consumption of California sea lion (Zalophus californianus) and its impact on salmonid fisheries in Monterey Bay California (Doctoral dissertation San Jose State University).	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328629	Phoca vitulina	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	scat sample	GEONAMES:5797632	Puget Sound (Hood Canal), Washington			1998	Lance M. M. and Jeffries S. J. (2009). Harbor seal diet in Hood Canal south Puget Sound and the San Juan Island archipelago. WDFW Wildlife Program Science Division.	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328629	Phoca vitulina	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	scat sample	GEONAMES:5797632	Puget Sound (Hood Canal), Washington			1998	London J. M. Lance M. M. and Jeffries S. (2002). feeding events of harbor seal predation on Hood Canal salmonids from 1998 to 2000. Washington Department of Fish and Wildlife.	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328615	Zalophus californianus	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	scat sample	GEONAMES:5815135	NW Olympic Peninsula (Ozette river\lake), Washington			1998	Scordino J. (2010). West coast pinniped program investigations on California sea lion and Pacific Harbor seal impacts on salmonids and other fishery resources. Pacific States Marine Fisheries Commission.	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328629	Phoca vitulina	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	scat sample	GEONAMES:5711125	Alsea Bay (lower estuary), Oregon			1998	Scordino J. (2010). West coast pinniped program investigations on California sea lion and Pacific Harbor seal impacts on salmonids and other fishery resources. Pacific States Marine Fisheries Commission.	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
EOL:328629	Phoca vitulina	RO:0002470	eats	EOL:205252	Oncorhynchus tshawytscha	scat sample	GEONAMES:5711125	Alsea Bay (upper estuary), Oregon			1998	Scordino J. (2010). West coast pinniped program investigations on California sea lion and Pacific Harbor seal impacts on salmonids and other fishery resources. Pacific States Marine Fisheries Commission.	http://dx.doi.org/10.1016/j.ecoinf.2016.04.010	Adams, J., Kaplan, I.C., Chasco, B., Marshall, K.N., Acevedo-Gutiérrez, A. and Ward, E.J., 2016. A century of Chinook salmon consumption by marine mammal predators in the Northeast Pacific Ocean. Ecological Informatics, 34, pp.44-51.
